year,county_code,district_code,school_code,county_name,district_name,school_name,district_type,school_type,ed_option_type,nslp_status,charter,charter_num,charter_funding,irc,low_grade,high_grade,total_enrollment,frpm,foster,tribal_foster_youth,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,calpads_fall1_cert,charter_dummy,school_type_num,ed_option_type_num,nslp_status_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
23,19,10199,6119945,Los Angeles,Los Angeles County Office of Education,Magnolia Science Academy,County Office of Education (COE),K-12 Schools (Public),Traditional,CEP,Yes,0438,Directly funded,Y,6,12,694,591,0,0,16,0,413,591,156,604,Y,1,12,10,2,1,1,6,12,1,19101996119945
23,19,10199,0115212,Los Angeles,Los Angeles County Office of Education,Magnolia Science Academy 2,County Office of Education (COE),K-12 Schools (Public),Traditional,CEP,Yes,0906,Directly funded,Y,6,12,511,454,1,0,2,0,301,454,81,455,Y,1,12,10,2,1,1,6,12,1,19101990115212
23,19,10199,0115030,Los Angeles,Los Angeles County Office of Education,Magnolia Science Academy 3,County Office of Education (COE),K-12 Schools (Public),Traditional,CEP,Yes,0917,Directly funded,Y,6,12,379,247,8,0,10,0,187,251,30,256,Y,1,12,10,2,1,1,6,12,1,19101990115030
23,19,10199,0137679,Los Angeles,Los Angeles County Office of Education,Magnolia Science Academy 5,County Office of Education (COE),K-12 Schools (Public),Traditional,,Yes,0987,Directly funded,Y,6,12,238,209,0,0,1,0,133,210,79,218,Y,1,12,10,,1,1,6,12,1,19101990137679
23,19,10199,0100776,Los Angeles,Los Angeles County Office of Education,North Valley Military Institute College Preparatory Academy,County Office of Education (COE),K-12 Schools (Public),Traditional,,Yes,0540,Directly funded,Y,6,12,784,716,12,0,55,0,454,725,140,733,Y,1,12,10,,1,1,6,12,1,19101990100776
23,19,10199,6116883,Los Angeles,Los Angeles County Office of Education,Odyssey Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,Yes,0249,Directly funded,Y,K,8,461,106,2,0,1,0,81,109,11,114,Y,1,6,10,,1,1,14,8,1,19101996116883
23,19,10199,0135582,Los Angeles,Los Angeles County Office of Education,Russell Westbrook Why Not? High,County Office of Education (COE),High Schools (Public),Traditional,,Yes,1817,Directly funded,Y,9,12,224,189,0,0,2,0,136,193,69,206,Y,1,7,10,,1,1,9,12,1,19101990135582
23,19,10199,0134361,Los Angeles,Los Angeles County Office of Education,Russell Westbrook Why Not? Middle,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,,Yes,1818,Directly funded,Y,6,8,133,133,2,0,2,0,86,133,48,133,Y,1,9,10,,1,1,6,8,1,19101990134361
23,19,10199,0137166,Los Angeles,Los Angeles County Office of Education,Soleil Academy Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,Provision 2,Yes,1931,Directly funded,Y,K,5,267,204,3,0,0,0,140,204,70,217,Y,1,6,10,5,1,1,14,5,1,19101990137166
23,19,10199,0140756,Los Angeles,Los Angeles County Office of Education,T.I.M.E. Community,County Office of Education (COE),High Schools (Public),Traditional,,Yes,2110,Directly funded,Y,9,12,62,49,1,0,0,0,42,51,19,53,Y,1,7,10,,1,1,9,12,1,19101990140756
23,19,10199,0140962,Los Angeles,Los Angeles County Office of Education,The SEED School of Los Angeles County,County Office of Education (COE),High Schools (Public),Traditional,,Yes,2108,Directly funded,Y,9,12,67,65,2,0,1,0,41,66,4,66,Y,1,7,10,,1,1,9,12,1,19101990140962
23,19,10199,0132605,Los Angeles,Los Angeles County Office of Education,Valiente College Preparatory Charter,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,CEP,Yes,1744,Directly funded,Y,5,8,116,115,0,0,0,0,72,115,37,116,Y,1,9,10,2,1,1,5,8,1,19101990132605
23,19,10199,0139345,Los Angeles,Los Angeles County Office of Education,We the People High,County Office of Education (COE),High Schools (Public),Traditional,,Yes,2045,Directly funded,Y,9,12,38,28,1,0,3,0,23,30,2,30,Y,1,7,10,,1,1,9,12,1,19101990139345
23,19,10199,0000000,Los Angeles,Los Angeles County Office of Education,,County Office of Education (COE),,,,,,,,,,1565,539,72,0,40,0,452,605,106,738,Y,,,,,,,,,1,19101990000000
23,19,64212,0000000,Los Angeles,ABC Unified,,Unified School District,,,,,,,,,,18354,10120,87,0,98,1437,5675,10382,2462,10851,Y,,,,,,,,,1,19642120000000
