year,county_code,district_code,school_code,county_name,district_name,school_name,district_type,school_type,ed_option_type,nslp_status,charter,charter_num,charter_funding,irc,low_grade,high_grade,total_enrollment,frpm,foster,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,calpads_fall1_cert,charter_dummy,school_type_num,ed_option_type_num,nslp_status_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
20,04,61523,0000000,Butte,Palermo Union Elementary,,Elementary School District,,,,,,,,,,1334,965,9,62,3,769,989,151,1011,Y,,,,,,,,,1,04615230000000
20,04,61531,0000000,Butte,Paradise Unified,,Unified School District,,,,,,,,,,1723,1085,10,227,0,807,1152,14,1154,Y,,,,,,,,,1,04615310000000
20,04,61531,0110338,Butte,Paradise Unified,Achieve Charter School of Paradise Inc.,Unified School District,Elementary Schools (Public),Traditional,CEP,Yes,0751,Directly funded,Y,K,8,217,81,0,41,0,46,101,5,101,Y,1,6,10,2,1,1,14,8,1,04615310110338
20,04,61531,6112585,Butte,Paradise Unified,HomeTech Charter,Unified School District,K-12 Schools (Public),Traditional,CEP,Yes,0067,Directly funded,Y,K,12,77,58,1,20,0,45,59,0,59,Y,1,12,10,2,1,1,14,12,1,04615316112585
20,04,61531,6112999,Butte,Paradise Unified,Paradise Charter Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,Yes,0079,Directly funded,Y,6,8,122,40,0,23,0,35,52,1,52,Y,1,9,10,2,1,1,6,8,1,04615316112999
20,04,61531,6113765,Butte,Paradise Unified,Children's Community Charter,Unified School District,Elementary Schools (Public),Traditional,CEP,Yes,0094,Directly funded,Y,K,8,72,26,0,42,0,27,58,0,58,Y,1,6,10,2,1,1,14,8,1,04615316113765
20,04,61549,0000000,Butte,Thermalito Union Elementary,,Elementary School District,,,,,,,,,,1550,1356,14,39,0,989,1362,241,1388,Y,,,,,,,,,1,04615490000000
20,04,73379,0000000,Butte,Pioneer Union Elementary,,Elementary School District,,,,,,,,,,56,52,0,0,0,42,53,3,53,Y,,,,,,,,,1,04733790000000
20,04,75507,0000000,Butte,Gridley Unified,,Unified School District,,,,,,,,,,2087,1526,15,33,82,973,1545,324,1577,Y,,,,,,,,,1,04755070000000
20,05,10058,0000000,Calaveras,Calaveras County Office of Education,,County Office of Education (COE),,,,,,,,,,48,7,15,1,0,14,28,3,29,Y,,,,,,,,,1,05100580000000
