year,district_code,district_name
23,72389,Sonora Union High
23,69849,Soquel Union Elementary
23,72397,Soulsbyville Elementary
23,68395,South Bay Union
23,63032,South Bay Union Elementary
23,63784,South Fork Union
23,66068,South Monterey County Joint Union High
23,65029,South Pasadena Unified
23,69070,South San Francisco Unified
23,65037,South Whittier Elementary
23,63040,Southern Humboldt Joint Unified
23,63776,Southern Kern Unified
23,73833,Southern Trinity Joint Unified
23,67553,Southside Elementary
23,68403,Spencer Valley Elementary
23,66225,Spreckels Union Elementary
23,72132,Springville Union Elementary
23,63792,Standard Elementary
23,10504,Stanislaus County Office of Education
23,71282,Stanislaus Union Elementary
23,68676,Stockton Unified
23,72140,Stone Corral Elementary
23,62653,Stony Creek Joint Unified
23,72157,Strathmore Union Elementary
23,65045,Sulphur Springs Union
23,72405,Summerville Elementary
23,72413,Summerville Union High
23,72173,Sundale Union Elementary
23,72181,Sunnyside Union Elementary
23,69690,Sunnyvale
23,75119,Sunol Glen Unified
